TYPE|FLOW|REMARK|Unnamed: 3|VOL|ISSUE|YEAR|DOI|TITLE|AUTHOR|SCHOOL|KEY_WORDS|N_ABS|AU1|AU2|AU3|AU4|AU5|AU6|AU7|AU8|AU9|AU10|SC1|SC2|SC3|SC4|SC5|SC6|SC7|SC8|SC9|SC10|COUN1|COUN2|COUN3|COUN4|COUN5|COUN6|COUN7|COUN8|COUN9|COUN10
T|0|cross training|0|1|2|1999|10.1287/msom.1.2.112|Worker Cross-Training in Paced Assembly Lines|George Vairaktarakis, Janice Kim Winch|Case Western Reserve University, Department of OR and OM, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235;Lubin School of Business, Department of Management and Management Sciences, One Pace Plaza, New York, New York 10038|Workforce Planning; Paced Assembly line; Cross-Training; Integer Programming|Paced or Synchronous assembly lines are a popular class of assembly systems consisting of a series of assembly stations arranged in tandem. Every job (or order) visits all assembly stations in the same sequence and spends the same amount of time (known as the production cycle) at each station. Industries such as aircraft, fire-engine, and automobile assembly have production cycles of a few hours and are labor intensive. In spite of increased automation in such industries, human capital remains the most expensive and important contributor to a flexible production system. In this article we formulate the cross-training problem on a paced assembly line with m stations (mCT). We assume that each worker possesses a number of skills referred to as a skill vector. Our objective is to schedule a set of work orders through the assembly system so as to minimize the size of the required workforce and/or the workforce cross-training costs. We analyze the complexity of mCT and identify polynomially solvable cases. A variety of lower bounds is developed based on optimization techniques. These lower bounds are used to develop a branch and bound algorithm as well as to evaluate our heuristics. A computational experiment reports the performance of all algorithms. Using these algorithms, we examine how the formation of skill vectors affects the workforce size and draw guidelines for cross-training programs in organizations with labor intensive assembly operations.|George Vairaktarakis| Janice Kim Winch|||||||||Case Western Reserve University, Department of OR and OM, 10900 Euclid Avenue, Cleveland, Ohio 44106-7235|Lubin School of Business, Department of Management and Management Sciences, One Pace Plaza, New York, New York 10038|||||||||USA|USA||||||||
T|P|0|0|2|1|2000|10.1287/msom.2.1.68.23267|Optimizing Strategic Safety Stock Placement in Supply Chains|Stephen C. Graves, Sean P. Willems|Leaders for Manufacturing Program and A. P. Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139-4307;College of Business Administration, University of Cincinnati, Cincinnati, Ohio 45221-0130|base-stock policy; dynamic programming application; multi-echelon inventory system; multi-stage supply-chain application; safety stock optimization|Manufacturing managers face increasing pressure to reduce inventories across the supply chain. However, in complex supply chains, it is not always obvious where to hold safety stock to minimize inventory costs and provide a high level of service to the final customer. In this paper we develop a framework for modeling strategic safety stock in a supply chain that is subject to demand or forecast uncertainty. Key assumptions are that we can model the supply chain as a network, that each stage in the supply chain operates with a periodic-review base-stock policy, that demand is bounded, and that there is a guaranteed service time between every stage and its customers. We develop an optimization algorithm for the placement of strategic safety stock for supply chains that can be modeled as spanning trees. Our assumptions allow us to capture the stochastic nature of the problem and formulate it as a deterministic optimization. As a partial validation of the model, we describe its successful application by product flow teams at Eastman Kodak. We discuss how these flow teams have used the model to reduce finished goods inventory, target cycle time reduction efforts, and determine component inventories. We conclude with a list of needs to enhance the utility of the model.|Stephen C. Graves| Sean P. Willems|||||||||Leaders for Manufacturing Program and A. P. Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139-4307|College of Business Administration, University of Cincinnati, Cincinnati, Ohio 45221-0130|||||||||USA|USA||||||||
T|0|no supply chain|0|2|1|2000|10.1287/msom.2.1.49.23263|Management of Worksharing Systems|John O. McClain, Kenneth L. Schultz, L. Joseph Thomas|S.C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853;Kelley School of Business, Indiana University, Bloomington, Indiana 47405;S.C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853|worksharing; serial production lines; cross training; bucket brigade|Worksharing occurs in serial manufacturing when machines are not uniquely assigned to workers. For example, two workers can operate three machines by alternating usage of the middle one. In some other worksharing systems operators move down the line carrying an item (or batch) with them, working on it at each machine until they are met by another worker who is coming back upstream. The work is then handed off even if the operation is underway. “Bucket Brigade” and “TSS” are worksharing systems based on this idea.|John O. McClain| Kenneth L. Schultz| L. Joseph Thomas||||||||S.C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853|Kelley School of Business, Indiana University, Bloomington, Indiana 47405|S.C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853||||||||USA|USA|USA|||||||
T|P|0|0|3|1|2001|10.1287/msom.3.1.82.9998|Supply Chain Coordination when Demand Is Shelf-Space Dependent|Yunzeng Wang, Yigal Gerchak|Department of Operations Research & Operations Management, Weatherhead School of Management, Case Western Reserve University, Cleveland, Ohio 44106;Department of Management Sciences, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1, and Department of Industrial Engineering, Tel-Aviv University, Ramat-Aviv, Tel-Aviv, Israel 69978|Coordination; Shelf-Space-Dependent Demand; Retail Competition; Nash Equilibrium|Consider a manufacturer or wholesaler who supplies some item to retailers facing demand rates that depend on the shelf or display space that is devoted to that product by themselves and their competitors. The manufacturer, via the use of financial levers at her disposal, wishes to coordinate this decentralized chain while making a profit. We model the physical scenario as one of constant displayed inventory level (on which demand rate depends positively) and continuous replenishment. With a single retailer, we show that to coordinate the channel and make a profit the manufacturer needs to augment the wholesale price lever by another-an inventory holding costs subsidy offered to the retailer. When multiple retailers compete in that product's market, there are two ways to envision and model the demand and market split. One assumes that market demand depends on aggregate inventory displayed, and then splits according to individual display levels. The other “assigns” customers to retailers according to their display levels, and then assumes that purchases are a function of the display level at the retailer selected. We characterize retailers' Nash equilibria in these models, and we explore whether the manufacturer can coordinate such channels.|Yunzeng Wang| Yigal Gerchak|||||||||Department of Operations Research & Operations Management, Weatherhead School of Management, Case Western Reserve University, Cleveland, Ohio 44106|Department of Management Sciences, University of Waterloo, Waterloo, Ontario, Canada N2L 3G1, and Department of Industrial Engineering, Tel-Aviv University, Ramat-Aviv, Tel-Aviv, Israel 69978|||||||||USA|ISRAEL||||||||
EM|0|no supply chain+ only quality|0|3|1|2001|10.1287/msom.3.1.25.9996|Work-Team Implementation and Trajectories of Manufacturing Quality: A Longitudinal Field Study|Rajiv D. Banker, Joy M. Field, Kingshuk K. Sinha|School of Management, The University of Texas at Dallas, Richardson, Texas 75083;Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467;Curtis L. Carlson School of Management, University of Minnesota, Minneapolis, Minnesota 55455|Work-Teams; Manufacturing Quality; Field Study|The study examines the sustainability of manufacturing quality improvements following the implementation of work teams on production lines. We posit that the impact on manufacturing quality, measured as the defect rate trajectory, is monotonically nonincreasing over time and may, more specifically, assume the shape of an inverted S-curve. Employing a longitudinal research design, we investigate four work teams over a 28-month period in a field setting. Each team corresponds to one of the four interconnected production lines in an electromechanical assembly plant operated by a Fortune 500 firm. Results of our empirical analysis support the sustainability of quality improvements associated with work team implementation and partially support the S-shaped trajectory as the particular form of sustainability. However, variations in the manufacturing quality trajectories reflect the characteristics of the work team and the production line on which each the team is instituted. From the standpoint of practice, this study highlights the importance of work-team design and implementation decisions, especially the need to be proactive in identifying and resolving initial implementation difficulties.|Rajiv D. Banker| Joy M. Field| Kingshuk K. Sinha||||||||School of Management, The University of Texas at Dallas, Richardson, Texas 75083|Wallace E. Carroll School of Management, Boston College, Chestnut Hill, Massachusetts 02467|Curtis L. Carlson School of Management, University of Minnesota, Minneapolis, Minnesota 55455||||||||USA|USA|USA|||||||
T|P|0|0|3|2|2001|10.1287/msom.3.2.105.9988|Assessing the Benefits of Different Stock-Allocation Policies for a Make-to-Stock Production System|Francis de Véricourt, Fikri Karaesmen, Yves Dallery|Fuqua School of Business, Duke University, Durham, North Carolina 27708;Laboratoire Productique Logistique, 脡cole Centrale Paris, Grande Voie des Vignes, 92295 Chatenay-Malabry Cedex, France;Laboratoire Productique Logistique, 脡cole Centrale Paris, Grande Voie des Vignes, 92295 Chatenay-Malabry Cedex, France|Inventory/Production; Optimal Policies; Stock Allocation; Queues; Make-to-Stock System|We consider a manufacturing facility that produces a single item that is demanded by several different classes of customers. The inventory-related cost performance of such a system can be improved by effective allocation of production and inventories. We obtain the optimal parameters for three easily implementable allocation policies. Our results cover the case of linear backorder costs as well as fill-rate constraints. We compare the optimal performance of these control policies to gain insights into the benefits of different production and stock-allocation rules.|Francis de Véricourt| Fikri Karaesmen| Yves Dallery||||||||Fuqua School of Business, Duke University, Durham, North Carolina 27708|Laboratoire Productique Logistique, 脡cole Centrale Paris, Grande Voie des Vignes, 92295 Chatenay-Malabry Cedex, France|Laboratoire Productique Logistique, 脡cole Centrale Paris, Grande Voie des Vignes, 92295 Chatenay-Malabry Cedex, France||||||||USA|FRANCE|FRANCE|||||||
EM|0|service of banking+ noI+… no supply chain|0|3|4|2001|10.1287/msom.3.4.273.9969|Agility in Retail Banking: A Numerical Taxonomy of Strategic Service Groups|Larry J. Menor, Aleda V. Roth, Charlotte H. Mason|Richard Ivey School of Business, The University of Western Ontario, 1151 Richmond Street North, London, Ontario, Canada N6A 3K7;The Kenan-Flagler Business School, The University of North Carolina at Chapel Hill, Campus Box 3490, McColl Building, Chapel Hill, North Carolina 27599-3490;The Kenan-Flagler Business School, The University of North Carolina at Chapel Hill, Campus Box 3490, McColl Building, Chapel Hill, North Carolina 27599-3490|Agility; Retail Banking; Service Operations Strategy; Empirical Research|This research demonstrates that operations agility—defined as the ability to excel simultaneously on operations capabilities of quality, delivery, flexibility, and cost in a coordinated fashion—is a viable option for retail banks encountering increasing environmental change. The question of whether there is empirical evidence that services, specifically retail banks, display the characteristics of agility like their manufacturing counterparts is open to debate. Conventional wisdom in operations management posits that most successful services trade off one capability for another. Drawing from the resource-based view of the firm, combinative capabilities view, and the cybernetics work of Ashby (1958), theoretical arguments suggest the contrary. The agility paradigm is viable in environments calling for a mix of strategic responses. Applying cluster analytic techniques to a sample of retail banks, using capabilities as taxons, we identify four strategic service groups: agile, traditionalists, niche, and straddlers. Our empirical results provide thematic explanations consistent with theory that account for how the agile strategic group offers a unique configuration of service concept, resource competencies, strategic choices, and business orientation. Profiles of the operations strategies of each strategic service group suggest that each group has found a fit between what certain segments of the market may want and what they have to offer. In particular, we found that the agile group exhibited greater resource competencies than its counterparts, requiring greater investments in infrastructure and technology. Consistent with theory, agile banks performed better over time on an absolute measure of return on assets.|Larry J. Menor| Aleda V. Roth| Charlotte H. Mason||||||||Richard Ivey School of Business, The University of Western Ontario, 1151 Richmond Street North, London, Ontario, Canada N6A 3K7|The Kenan-Flagler Business School, The University of North Carolina at Chapel Hill, Campus Box 3490, McColl Building, Chapel Hill, North Carolina 27599-3490|The Kenan-Flagler Business School, The University of North Carolina at Chapel Hill, Campus Box 3490, McColl Building, Chapel Hill, North Carolina 27599-3490||||||||CANADA|USA|USA|||||||
T|P|capacity EXpansion|0|4|1|2002|10.1287/msom.4.1.44.294|Dynamic Capacity Expansion Problem with Deferred Expansion and Age-Dependent Shortage Cost|Vernon Ning Hsu|Department of Industrial Engineering and Engineering Management, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong and School of Management, George Mason University, Fairfax, Virginia 22030|Capacity Planning; Capacity Expansion with Shortage; Dynamic Progamming|Deferring capacity expansion may be a cost effective decision when there is anticipation of cheaper capacity in the near future and/or the current demand is too low to justify an immediate expansion. This paper studies a finite-horizon capacity expansion problem (CEP) with deferred capacity expansion. The operating cost and the cost of holding unused capacity in each period depend on the time when the capacity is acquired, and the shortage cost depends on the time when the shortage occurred. Our model is a generalization of the Wagner-Whitin formulation of the CEP and an extension (with deferred expansion) of two other polynomially solvable CEPs in the literature. We explore structural properties of the problem and develop an efficient dynamic programming algorithm to solve the problem in polynomial time.|Vernon Ning Hsu||||||||||Department of Industrial Engineering and Engineering Management, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong and School of Management, George Mason University, Fairfax, Virginia 22030||||||||||USA|||||||||
T|0|survey|0|4|2|2002|10.1287/msom.4.2.133.281|Optimal and Hierarchical Controls in Dynamic Stochastic Manufacturing Systems: A Survey|S. P. Sethi, H. Yan, H. Zhang, Q. Zhang|School of Management, The University of Texas at Dallas, Richardson, Texas 75083-0688;School of Management, The University of Texas at Dallas, Richardson, Texas 75083-0688;Institute of Applied Mathematics, Academia Sinica, Beijing, 100080, China;Department of Mathematics, University of Georgia, Athens, Georgia 30602|manufacturing systems; hierarchical control; stochastic control; dynamic programming; viscosity solution; singular perturbations|Most manufacturing systems are large and complex and operate in an uncertain environment. One approach to managing such systems is that of hierarchical decomposition. This paper reviews the research devoted to proving that a hierarchy based on the frequencies of occurrence of different types of events in the systems results in decisions that are asymptotically optimal as the rates of some events become large compared to those of others. The paper also reviews the research on stochastic optimal control problems associated with manufacturing systems, their dynamic programming equations, existence of solutions of these equations, and verification theorems of optimality for the systems. Manufacturing systems that are addressed include single-machine systems, dynamic flowshops, and dynamic jobshops producing multiple products. These systems may also incorporate random production capacity and demands, and decisions such as production rates, capacity expansion, and promotional campaigns. Related computational results and areas of applications are also presented. A more detailed survey is available at 〈www.utdallas.edu/˜sethi/ITORMS/index.html〉.|S. P. Sethi| H. Yan| H. Zhang| Q. Zhang|||||||School of Management, The University of Texas at Dallas, Richardson, Texas 75083-0688|School of Management, The University of Texas at Dallas, Richardson, Texas 75083-0688|Institute of Applied Mathematics, Academia Sinica, Beijing, 100080, China|Department of Mathematics, University of Georgia, Athens, Georgia 30602|||||||USA|USA|CHINA|USA||||||
T|P|0|0|4|4|2002|10.1287/msom.4.4.296.5731|On Throughput Maximization in Constant Travel-Time Robotic Cells|Milind Dawande, Chelliah Sriskandarajah, Suresh Sethi|School of Management, University of Texas at Dallas, Richardson, Texas 75083;School of Management, University of Texas at Dallas, Richardson, Texas 75083;School of Management, University of Texas at Dallas, Richardson, Texas 75083|maufacturing; robotic cell; identical parts; polynomial time algorithm|We consider the problem of scheduling operations in bufferless robotic cells that produce identical parts. The objective is to find a cyclic sequence of robot moves that minimizes the long-run average time to produce a part or, equivalently, maximizes the throughput rate. The robot can be moved in simple cycles that produce one unit or, in more complicated cycles, that produce multiple units. Because one-unit cycles are the easiest to understand, implement, and control, they are widely used in industry. We analyze one-unit cycles for a class of robotic cells called constant travel-time robotic cells. We complete a structural analysis of the class of one-unit cycles and obtain a polynomial time algorithm for finding an optimal one-unit cycle.|Milind Dawande| Chelliah Sriskandarajah| Suresh Sethi||||||||School of Management, University of Texas at Dallas, Richardson, Texas 75083|School of Management, University of Texas at Dallas, Richardson, Texas 75083|School of Management, University of Texas at Dallas, Richardson, Texas 75083||||||||USA|USA|USA|||||||
T|0|relationship+ compliance contract|0|5|1|2003|10.1287/msom.5.1.67.12760|Supplier-Manufacturer Relationships Under Forced Compliance Contracts|Natalia Golovachkina|The S. C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853-6201|-|Analyzes a forced compliance contract and its capability to mitigate the effects of demand and spot-price uncertainties. Description of the model as a two-stage Stackelberg game in which the supplier is the leader; Literature extended by analyzing a contract for options in a spot-market setting; Value brought by the contract into the supply chain.|Natalia Golovachkina||||||||||The S. C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853-6201||||||||||USA|||||||||
