TYPE|FLOW|REMARK|Unnamed: 3|VOL|ISSUE|YEAR|DOI|TITLE|AUTHOR|SCHOOL|KEY_WORDS|N_ABS|AU1|AU2|AU3|AU4|AU5|AU6|AU7|AU8|AU9|AU10|SC1|SC2|SC3|SC4|SC5|SC6|SC7|SC8|SC9|SC10|COUN1|COUN2|COUN3|COUN4|COUN5|COUN6|COUN7|COUN8|COUN9|COUN10
EX|0|0|0|19|3|2017|10.1287/msom.2016.0615|Does Social Interaction Improve Learning Outcomes? Evidence from Field Experiments on Massive Open Online Courses|Dennis J. Zhang, Gad Allon, Jan A. Van Mieghem|Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130;Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;Kellogg School of Management, Northwestern University, Evanston, Illinois 60208|service operations; massive open online courses (MOOCs); social interaction; education; field experiments|This paper studies how service providers can design social interaction among participants and quantify the causal impact of that interaction on service quality. We focus on education and analyze whether encouraging social interaction among students improves learning outcomes in massive open online courses (MOOCs), which are a new service delivery channel with universal access at reduced, if not zero, cost.|Dennis J. Zhang| Gad Allon| Jan A. Van Mieghem||||||||Olin Business School, Washington University in St. Louis, St. Louis, Missouri 63130|Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104|Kellogg School of Management, Northwestern University, Evanston, Illinois 60208||||||||USA|USA|USA|||||||
T+EM|P|0|0|19|3|2017|10.1287/msom.2016.0614|Mitigating Spillover in Online Retailing via Replenishment|Jason Acimovic , Stephen C. Graves |Smeal College of Business, The Pennsylvania State University, University Park, Pennsylvania 16802;Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139|online retailing; inventory replenishment; centralized inventory control; inventory heuristics|Online purchases constitute about one-tenth of U.S. retail sales. The supply chains that support online retailing are fundamentally different from those that support traditional brick-and-mortar stores. Traditional solutions are not always appropriate to solve online retailing’s operations problems; thus, there is an opportunity to understand and improve these novel supply chains. One key characteristic of the inventory systems for online retailing is demand spillover, whereby a stockout at a fulfillment center (FC) results in demand spilling over to another FC. For this context we examine how to allocate inventory to the FCs under a periodic-review joint-replenishment policy, with an objective to minimize outbound shipping costs for a fixed amount of inventory. We first show how traditional decentralized allocation policies may perform suboptimally and induce dynamics (whiplash) that result in costly spillover. We find that this phenomenon increases with the prevalence of local stockouts and with the level of inventory imbalance. We then describe that inventory imbalance occurs in online retailing because of operational realities and provide evidence based on real data. Finally, we propose a heuristic to allocate inventory accounting for possible spillover during the lead time. We test the heuristic by a simulation and show that it performs better than the status quo policy, is robust to operational realities, and captures over 90% of the possible improvement as compared to a pseudo-optimal policy.|Jason Acimovic | Stephen C. Graves |||||||||Smeal College of Business, The Pennsylvania State University, University Park, Pennsylvania 16802|Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139|||||||||USA|USA||||||||
EM|P|0|0|3|3|2001|10.1287/msom.3.3.264.9890|Operational Drivers of Customer Loyalty in Electronic Retailing: An Empirical Analysis of Electronic Food Retailers|Gregory R. Heim, Kingshuk K. Sinha|Operations and Strategic Management Department, Wallace E. Carroll School of Management, Boston College, 140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467;Operations and Management Science Department, Carlson School of Management, University of Minnesota, 321--19th Avenue South, Minneapolis, Minnesota 55455|Order Procurement; Order Fulfillment; Electronic Retailing; Empirical Analysis; Customer Loyalty|The relationship between customer loyalty and the order procurement and order fulfillment processes of electronic retailers is empirically examined in this paper. The study sample contains data from 52 electronic food retailers. After controlling for the retailers' product categories based on design flexibility, our regression analysis results indicate that three order procurement variables—website navigation, product information, and price; and three order fulfillment variables—product availability, timeliness of delivery, and ease of return have significant association with customer loyalty. In terms of their relative contributions toward improving customer loyalty, these variables can be ordered in a descending order as follows: ease of return, timeliness of delivery, website navigation, product availability, price, and product information.|Gregory R. Heim| Kingshuk K. Sinha|||||||||Operations and Strategic Management Department, Wallace E. Carroll School of Management, Boston College, 140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467|Operations and Management Science Department, Carlson School of Management, University of Minnesota, 321--19th Avenue South, Minneapolis, Minnesota 55455|||||||||USA|USA||||||||
T|P|0|0|14|1|2012|10.1287/msom.1110.0353|Good and Bad News About the (S, T) Policy|Fang Liu, Jing-Sheng Song|Nanyang Business School, Nanyang Technological University, Singapore 639798;Fuqua School of Business, Duke University, Durham, North Carolina 27708; and School of Management, Fudan University, Shanghai 200433, China|inventory/production; periodic review; order-up-to policy; convexity; submodularity; unimodality; Brownian motion; gamma process; compound Poisson process|This paper studies the optimization of the (S, T) inventory policy, where T is the replenishment interval and S is the order-up-to level. First, we demonstrate that the previously established joint convexity of the long-run average cost is false. Hence, the optimization is not straightforward. We then point out that the joint convexity concept depends on whether S and T are continuous or discrete variables, and in some situations it may not even be well defined. Nonetheless, we are able to identify several useful properties of the cost function, such as submodularity and coordinatewise convexity. Based on these properties, we develop efficient algorithms to compute the optimal policy for continuous and discrete demands.|Fang Liu| Jing-Sheng Song|||||||||Nanyang Business School, Nanyang Technological University, Singapore 639798|Fuqua School of Business|||||||||USA|USA||||||||
T|F|OMFinanceInterface|0|18|1|2016|10.1287/msom.2015.0531|Improving Store Liquidation|Nathan C. Craig, Ananth Raman|The Ohio State University, Columbus, Ohio 43210;Harvard Business School, Boston, Massachusetts 02163|retailing; pricing and revenue management; inventory theory and control; OM practice; OM finance interface|Store liquidation is the time-constrained divestment of retail outlets through an in-store sale of inventory. The retail industry depends extensively on store liquidation, both to allow managers of going concerns to divest stores in efforts to enhance performance and as a means for investors to recover capital from failed ventures. Retailers sell billions of dollars of inventory annually during store liquidations. This paper introduces the store liquidation problem to the literature and presents a technique for optimizing key store liquidation decisions, including markdowns, inventory transfers, and the timing of store closings. We propose a heuristic for solving the store liquidation problem and evaluate the performance of this method. Through applications, we show that our approach could improve net recovery on cost (i.e., the profit obtained during a liquidation stated as a percentage of the cost value of liquidated inventory) by two to five percentage points in the cases we examined. Further, we discuss ways in which current practice in store liquidation differs from the decisions identified by our method, and we trace the consequences of these differences.|Nathan C. Craig| Ananth Raman|||||||||The Ohio State University, Columbus, Ohio 43210|Harvard Business School, Boston, Massachusetts 02163|||||||||USA|USA||||||||
T|P|0|0|8|1|2006|10.1287/msom.1050.0094|Service System Design with Immobile Servers, Stochastic Demand, and Congestion|Samir Elhedhli|Department of Management Sciences, University of Waterloo, Waterloo, Ontario, Canada|service system design; facility location; immobile servers; stochastic demand; congestion; nonlinear MIP; piecewise linearization; cutting plane methods|The service system design problem seeks to locate a set of service facilities, allocate enough capacity, and assign stochastic customer demand to each of them, so as to minimize the fixed costs of opening facilities and acquiring service capacity, as well as the variable access and waiting costs. This problem is commonly known in the location literature as the facility location problem with immobile servers, stochastic demand, and congestion. It is often set up as a network of M/M/1 queues and modeled as a nonlinear mixed-integer program (MIP). Because of the complexity of the resulting model, the current literature focuses on approximate and/or heuristic solution methods. This paper proposes a linearization based on a simple transformation and piecewise linear approximations and an exact solution method based on cutting planes. This leads to the exact solution of models with up to 100 customers, 20 potential service facilities, and 3 capacity levels.|Samir Elhedhli||||||||||Department of Management Sciences, University of Waterloo, Waterloo, Ontario, Canada||||||||||CANADA|||||||||
T+EM|I|Forecasting+ Updating|0|10|3|2008|10.1287/msom.1070.0179|Interday Forecasting and Intraday Updating of Call Center Arrivals|Haipeng Shen, Jianhua Z. Huang|Department of Statistics and Operations Research, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599;Department of Statistics, Texas A&M University, College Station, Texas 77843|dimension reduction; dynamic forecast updating; principal component analysis; penalized least squares; singular value decomposition; vector time series|Accurate forecasting of call arrivals is critical for staffing and scheduling of a telephone call center. We develop methods for interday and dynamic intraday forecasting of incoming call volumes. Our approach is to treat the intraday call volume profiles as a high-dimensional vector time series. We propose first to reduce the dimensionality by singular value decomposition of the matrix of historical intraday profiles and then to apply time series and regression techniques. Our approach takes into account both interday (or day-to-day) dynamics and intraday (or within-day) patterns of call arrivals. Distributional forecasts are also developed. The proposed methods are data driven, appear to be robust against model assumptions in our simulation studies, and are shown to be very competitive in out-of-sample forecast comparisons using two real data sets. Our methods are computationally fast; it is therefore feasible to use them for real-time dynamic forecasting.|Haipeng Shen| Jianhua Z. Huang|||||||||Department of Statistics and Operations Research, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599|Department of Statistics, Texas A&M University, College Station, Texas 77843|||||||||USA|USA||||||||
T|P |0|0|6|4|2004|10.1287/msom.1040.0055|Process Management Instead of Operations Management|Edward A. Silver|Haskayne School of Business, University of Calgary, 2500 University Drive N.W., Calgary, Alberta, Canada T2N 1N4|process management; interdisciplinary; improvement/redesign|In this article a challenge is provided to the operations management community to broaden our perspective from the traditional, functional one to the cross-functional (interdisciplinary) view of process management. At the same time, the challenge is to de-emphasize mathematical optimization and instead seek improvements through better representations of problems or situations of real interest to management. I believe that adoption of these suggestions will enhance the opportunities and reputation of our research and educational activities.|Edward A. Silver||||||||||Haskayne School of Business, University of Calgary, 2500 University Drive N.W., Calgary, Alberta, Canada T2N 1N4||||||||||CANADA|||||||||
T+EM| |innovation and technology|0|9|4|2007|10.1287/msom.1060.0135|Customer Efficiency, Channel Usage, and Firm Performance in Retail Banking|Mei Xue, Lorin M. Hitt, Patrick T. Harker|Operations and Strategic Management Department, The Wallace E. Carroll School of Management, Boston College, 350 Fulton Hall, 140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467;Operations and Information Management Department, The Wharton School, University of Pennsylvania, 571 John Huntsman Hall, Philadelphia, Pennsylvania 19104;Operations and Information Management Department, The Wharton School, University of Pennsylvania, 1000 SHDH, 3620 Locust Walk, Philadelphia, Pennsylvania 19104-6364|service operations management; service delivery system; self-service technology (SST); service coproduction; customer efficiency|Innovations in technology and service design have increasingly enabled firms to incorporate self-service technology to augment or substitute for “traditional” employee-provided service channels. Although it is clear that self-service can reduce cost, less is known about how customers utilize self-service channels in a multichannel service delivery system and the resulting impact on firm performance. An important aspect of service operations is that customers are coproducers of the service. Thus, the performance of the delivery system and customers' use of service channels can be affected by customers' own efficiency or productivity in service coproduction (customer efficiency). In this paper, we utilize prior theoretical frameworks in service operations and economics to hypothesize relationships among customer characteristics (especially coproduction efficiency), channel utilization, and firm performance. We then test these hypotheses using panel data from a large retail bank. Overall, we find that higher customer efficiency in self-service channels is associated with greater profitability and has a complex relationship with customer retention and product utilization.|Mei Xue| Lorin M. Hitt| Patrick T. Harker||||||||Operations and Strategic Management Department, The Wallace E. Carroll School of Management, Boston College, 350 Fulton Hall, 140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467|Operations and Information Management Department, The Wharton School, University of Pennsylvania, 571 John Huntsman Hall, Philadelphia, Pennsylvania 19104|Operations and Information Management Department, The Wharton School, University of Pennsylvania, 1000 SHDH, 3620 Locust Walk, Philadelphia, Pennsylvania 19104-6364||||||||USA|USA|USA|||||||
T|I|DEMand Learning|0|15|3|2013|10.1287/msom.2013.0429|Optimal Dynamic Assortment Planning with Demand Learning|Denis Sauré, Assaf Zeevi|Swanson School of Engineering, University of Pittsburgh, Pittsburgh, Pennsylvania 15260;Graduate School of Business, Columbia University, New York, New York 10027|assortment planning; online algorithm; demand learning|We study a family of stylized assortment planning problems, where arriving customers make purchase decisions among offered products based on maximizing their utility. Given limited display capacity and no a priori information on consumers' utility, the retailer must select which subset of products to offer. By offering different assortments and observing the resulting purchase behavior, the retailer learns about consumer preferences, but this experimentation should be balanced with the goal of maximizing revenues. We develop a family of dynamic policies that judiciously balance the aforementioned trade-off between exploration and exploitation, and prove that their performance cannot be improved upon in a precise mathematical sense. One salient feature of these policies is that they “quickly” recognize, and hence limit experimentation on, strictly suboptimal products.|Denis Sauré| Assaf Zeevi|||||||||Swanson School of Engineering, University of Pittsburgh, Pittsburgh, Pennsylvania 15260|Graduate School of Business, Columbia University, New York, New York 10027|||||||||USA|USA||||||||
